listing_id,observed_nights,occupied_nights,occupancy_rate,estimated_revenue,average_booked_price
674113,365,90,0.2465753424657534,0.0,
677266,365,1,0.0027397260273972603,0.0,
682135,365,59,0.16164383561643836,0.0,
685600,365,0,0.0,0.0,
689309,365,47,0.12876712328767123,0.0,
692080,365,0,0.0,0.0,
692671,365,88,0.2410958904109589,0.0,
693956,365,349,0.9561643835616438,0.0,
696004,365,0,0.0,0.0,
699460,365,38,0.10410958904109589,0.0,
699596,365,234,0.6410958904109589,0.0,
703058,365,172,0.4712328767123288,0.0,
704477,365,277,0.7589041095890411,0.0,
704764,365,199,0.5452054794520548,0.0,
706385,365,210,0.5753424657534246,0.0,
707424,365,7,0.019178082191780823,0.0,
708774,365,35,0.0958904109589041,0.0,
714043,365,240,0.6575342465753424,0.0,
716829,365,0,0.0,0.0,
719233,365,325,0.8904109589041096,0.0,
722537,365,51,0.13972602739726028,0.0,
723723,365,0,0.0,0.0,
723846,365,42,0.11506849315068493,0.0,
741699,365,205,0.5616438356164384,0.0,
745099,365,28,0.07671232876712329,0.0,
746380,365,0,0.0,0.0,
748526,365,8,0.021917808219178082,0.0,
749758,365,156,0.4273972602739726,0.0,
752483,365,0,0.0,0.0,
755613,365,277,0.7589041095890411,0.0,
757840,365,62,0.16986301369863013,0.0,
762029,365,263,0.7205479452054795,0.0,
769213,365,29,0.07945205479452055,0.0,
774659,365,125,0.3424657534246575,0.0,
777159,365,365,1.0,0.0,
781474,365,276,0.7561643835616438,0.0,
783061,365,120,0.3287671232876712,0.0,
785830,365,293,0.8027397260273973,0.0,
788146,365,0,0.0,0.0,
789229,365,2,0.005479452054794521,0.0,
789966,365,0,0.0,0.0,
790860,365,27,0.07397260273972603,0.0,
793629,365,202,0.5534246575342465,0.0,
794633,365,28,0.07671232876712329,0.0,
796594,365,0,0.0,0.0,
797358,365,334,0.915068493150685,0.0,
799882,365,153,0.4191780821917808,0.0,
803902,365,125,0.3424657534246575,0.0,
808134,365,203,0.5561643835616439,0.0,
808811,365,0,0.0,0.0,
815017,365,10,0.0273972602739726,0.0,
817115,365,24,0.06575342465753424,0.0,
823989,365,21,0.057534246575342465,0.0,
825574,365,41,0.11232876712328767,0.0,
826436,365,277,0.7589041095890411,0.0,
828298,365,198,0.5424657534246575,0.0,
830948,365,0,0.0,0.0,
835149,365,3,0.00821917808219178,0.0,
838764,365,14,0.038356164383561646,0.0,
841049,365,5,0.0136986301369863,0.0,
841140,365,189,0.5178082191780822,0.0,
841274,365,90,0.2465753424657534,0.0,
843812,365,360,0.9863013698630136,0.0,
844939,365,29,0.07945205479452055,0.0,
856550,365,265,0.726027397260274,0.0,
859467,365,27,0.07397260273972603,0.0,
872152,365,85,0.2328767123287671,0.0,
873073,365,344,0.9424657534246575,0.0,
877203,365,27,0.07397260273972603,0.0,
879181,365,29,0.07945205479452055,0.0,
882274,365,165,0.4520547945205479,0.0,
888967,365,186,0.5095890410958904,0.0,
890677,365,302,0.8273972602739726,0.0,
