level,setting,identifier,record_count,even_share,vs_even
partition_key,listing_id,9545766,365,365.0,1.0
partition_key,listing_id,2441908,365,365.0,1.0
partition_key,listing_id,9367465,365,365.0,1.0
partition_key,listing_id,3031415,365,365.0,1.0
partition_key,listing_id,843812,365,365.0,1.0
partition_key,listing_id,3835995,365,365.0,1.0
partition_key,listing_id,9732638,365,365.0,1.0
partition_key,listing_id,3768745,365,365.0,1.0
partition_key,listing_id,3975434,365,365.0,1.0
partition_key,listing_id,5620928,365,365.0,1.0
partition_key,listing_id,7381677,365,365.0,1.0
partition_key,listing_id,5487934,365,365.0,1.0
partition_key,listing_id,9028447,365,365.0,1.0
partition_key,listing_id,757840,365,365.0,1.0
partition_key,listing_id,8848403,365,365.0,1.0
partition_key,listing_id,7430926,365,365.0,1.0
partition_key,listing_id,7021544,365,365.0,1.0
partition_key,listing_id,1323446,365,365.0,1.0
partition_key,listing_id,3925573,365,365.0,1.0
partition_key,listing_id,8723086,365,365.0,1.0
partition_key,listing_id,781474,365,365.0,1.0
partition_key,listing_id,9812439,365,365.0,1.0
partition_key,listing_id,3401644,365,365.0,1.0
partition_key,listing_id,10036903,365,365.0,1.0
partition_key,listing_id,5310193,365,365.0,1.0
partition_key,listing_id,5308875,365,365.0,1.0
partition_key,listing_id,5052459,365,365.0,1.0
partition_key,listing_id,7228499,365,365.0,1.0
partition_key,listing_id,7651653,365,365.0,1.0
partition_key,listing_id,1494986,365,365.0,1.0
partition_key,listing_id,1783382,365,365.0,1.0
partition_key,listing_id,7513198,365,365.0,1.0
partition_key,listing_id,8308316,365,365.0,1.0
partition_key,listing_id,9694921,365,365.0,1.0
partition_key,listing_id,2472850,365,365.0,1.0
partition_key,listing_id,5487522,365,365.0,1.0
partition_key,listing_id,4016650,365,365.0,1.0
partition_key,listing_id,10229434,365,365.0,1.0
partition_key,listing_id,3479241,365,365.0,1.0
partition_key,listing_id,5848400,365,365.0,1.0
partition_key,listing_id,6077760,365,365.0,1.0
partition_key,listing_id,4642956,365,365.0,1.0
partition_key,listing_id,1167507,365,365.0,1.0
partition_key,listing_id,6044106,365,365.0,1.0
partition_key,listing_id,1799255,365,365.0,1.0
partition_key,listing_id,8941768,365,365.0,1.0
partition_key,listing_id,6569950,365,365.0,1.0
partition_key,listing_id,7733192,365,365.0,1.0
partition_key,listing_id,9215782,365,365.0,1.0
partition_key,listing_id,5175631,365,365.0,1.0
partition_key,listing_id,6315614,365,365.0,1.0
partition_key,listing_id,9134193,365,365.0,1.0
partition_key,listing_id,2481189,365,365.0,1.0
partition_key,listing_id,8535897,365,365.0,1.0
partition_key,listing_id,9476826,365,365.0,1.0
partition_key,listing_id,3144311,365,365.0,1.0
partition_key,listing_id,9370007,365,365.0,1.0
partition_key,listing_id,6781308,365,365.0,1.0
partition_key,listing_id,160222,365,365.0,1.0
partition_key,listing_id,4250367,365,365.0,1.0
partition_key,listing_id,8755479,365,365.0,1.0
partition_key,listing_id,8829156,365,365.0,1.0
partition_key,listing_id,5126077,365,365.0,1.0
partition_key,listing_id,6108796,365,365.0,1.0
partition_key,listing_id,2692126,365,365.0,1.0
partition_key,listing_id,6882211,365,365.0,1.0
partition_key,listing_id,9573675,365,365.0,1.0
partition_key,listing_id,3544953,365,365.0,1.0
partition_key,listing_id,2020505,365,365.0,1.0
partition_key,listing_id,5580457,365,365.0,1.0
partition_key,listing_id,1495271,365,365.0,1.0
partition_key,listing_id,8455865,365,365.0,1.0
partition_key,listing_id,9679300,365,365.0,1.0
partition_key,listing_id,6065566,365,365.0,1.0
partition_key,listing_id,4645208,365,365.0,1.0
partition_key,listing_id,6115807,365,365.0,1.0
partition_key,listing_id,7091397,365,365.0,1.0
partition_key,listing_id,6134153,365,365.0,1.0
partition_key,listing_id,7763878,365,365.0,1.0
partition_key,listing_id,8088447,365,365.0,1.0
partition_key,listing_id,3418349,365,365.0,1.0
partition_key,listing_id,9199982,365,365.0,1.0
partition_key,listing_id,6400000,365,365.0,1.0
partition_key,listing_id,6776229,365,365.0,1.0
partition_key,listing_id,7627794,365,365.0,1.0
partition_key,listing_id,8374102,365,365.0,1.0
partition_key,listing_id,6316934,365,365.0,1.0
partition_key,listing_id,1820794,365,365.0,1.0
partition_key,listing_id,314180,365,365.0,1.0
partition_key,listing_id,8670079,365,365.0,1.0
partition_key,listing_id,4868135,365,365.0,1.0
partition_key,listing_id,5336585,365,365.0,1.0
partition_key,listing_id,1427103,365,365.0,1.0
partition_key,listing_id,3518808,365,365.0,1.0
partition_key,listing_id,8995844,365,365.0,1.0
partition_key,listing_id,356566,365,365.0,1.0
partition_key,listing_id,6466388,365,365.0,1.0
partition_key,listing_id,4531944,365,365.0,1.0
partition_key,listing_id,6686072,365,365.0,1.0
partition_key,listing_id,4384343,365,365.0,1.0
partition_key,listing_id,7900056,365,365.0,1.0
partition_key,listing_id,6378563,365,365.0,1.0
partition_key,listing_id,5630783,365,365.0,1.0
partition_key,listing_id,340706,365,365.0,1.0
partition_key,listing_id,6202214,365,365.0,1.0
partition_key,listing_id,1030411,365,365.0,1.0
partition_key,listing_id,7922373,365,365.0,1.0
partition_key,listing_id,6156470,365,365.0,1.0
partition_key,listing_id,2994309,365,365.0,1.0
partition_key,listing_id,1594328,365,365.0,1.0
partition_key,listing_id,8072920,365,365.0,1.0
partition_key,listing_id,6915487,365,365.0,1.0
partition_key,listing_id,6202603,365,365.0,1.0
partition_key,listing_id,5286781,365,365.0,1.0
partition_key,listing_id,2818420,365,365.0,1.0
partition_key,listing_id,3739681,365,365.0,1.0
partition_key,listing_id,7922063,365,365.0,1.0
partition_key,listing_id,611509,365,365.0,1.0
partition_key,listing_id,1802663,365,365.0,1.0
partition_key,listing_id,9797545,365,365.0,1.0
partition_key,listing_id,9241055,365,365.0,1.0
partition_key,listing_id,9294832,365,365.0,1.0
partition_key,listing_id,8643209,365,365.0,1.0
partition_key,listing_id,7258811,365,365.0,1.0
partition_key,listing_id,10265391,365,365.0,1.0
partition_key,listing_id,132120,365,365.0,1.0
partition_key,listing_id,6343866,365,365.0,1.0
partition_key,listing_id,3066740,365,365.0,1.0
partition_key,listing_id,4130112,365,365.0,1.0
partition_key,listing_id,4026757,365,365.0,1.0
partition_key,listing_id,9545281,365,365.0,1.0
partition_key,listing_id,3294804,365,365.0,1.0
partition_key,listing_id,4122325,365,365.0,1.0
partition_key,listing_id,8308353,365,365.0,1.0
partition_key,listing_id,7226013,365,365.0,1.0
partition_key,listing_id,5761290,365,365.0,1.0
partition_key,listing_id,182716,365,365.0,1.0
partition_key,listing_id,3050140,365,365.0,1.0
partition_key,listing_id,3254956,365,365.0,1.0
partition_key,listing_id,1264287,365,365.0,1.0
partition_key,listing_id,3404557,365,365.0,1.0
partition_key,listing_id,3939683,365,365.0,1.0
partition_key,listing_id,3424242,365,365.0,1.0
partition_key,listing_id,7985714,365,365.0,1.0
partition_key,listing_id,4279876,365,365.0,1.0
partition_key,listing_id,3870253,365,365.0,1.0
partition_key,listing_id,2187563,365,365.0,1.0
partition_key,listing_id,3889299,365,365.0,1.0
partition_key,listing_id,3889330,365,365.0,1.0
partition_key,listing_id,1184846,365,365.0,1.0
partition_key,listing_id,3626162,365,365.0,1.0
partition_key,listing_id,456040,365,365.0,1.0
partition_key,listing_id,9033154,365,365.0,1.0
partition_key,listing_id,4340838,365,365.0,1.0
partition_key,listing_id,808811,365,365.0,1.0
partition_key,listing_id,7368030,365,365.0,1.0
partition_key,listing_id,522287,365,365.0,1.0
partition_key,listing_id,1940787,365,365.0,1.0
partition_key,listing_id,3732103,365,365.0,1.0
partition_key,listing_id,43373,365,365.0,1.0
partition_key,listing_id,5126365,365,365.0,1.0
partition_key,listing_id,7182584,365,365.0,1.0
partition_key,listing_id,5325214,365,365.0,1.0
partition_key,listing_id,2710274,365,365.0,1.0
partition_key,listing_id,5128160,365,365.0,1.0
partition_key,listing_id,3424114,365,365.0,1.0
partition_key,listing_id,2776890,365,365.0,1.0
partition_key,listing_id,4521755,365,365.0,1.0
partition_key,listing_id,3456599,365,365.0,1.0
partition_key,listing_id,8207848,365,365.0,1.0
partition_key,listing_id,10249527,365,365.0,1.0
partition_key,listing_id,1252740,365,365.0,1.0
partition_key,listing_id,4250938,365,365.0,1.0
partition_key,listing_id,3791920,365,365.0,1.0
partition_key,listing_id,4258762,365,365.0,1.0
partition_key,listing_id,7364146,365,365.0,1.0
partition_key,listing_id,6765045,365,365.0,1.0
partition_key,listing_id,3193738,365,365.0,1.0
partition_key,listing_id,8765219,365,365.0,1.0
partition_key,listing_id,8174285,365,365.0,1.0
partition_key,listing_id,3403638,365,365.0,1.0
partition_key,listing_id,7601333,365,365.0,1.0
partition_key,listing_id,6707735,365,365.0,1.0
partition_key,listing_id,7322718,365,365.0,1.0
partition_key,listing_id,3783162,365,365.0,1.0
partition_key,listing_id,6606,365,365.0,1.0
partition_key,listing_id,3889280,365,365.0,1.0
partition_key,listing_id,3971137,365,365.0,1.0
partition_key,listing_id,3889050,365,365.0,1.0
partition_key,listing_id,799882,365,365.0,1.0
partition_key,listing_id,9508386,365,365.0,1.0
partition_key,listing_id,6714817,365,365.0,1.0
partition_key,listing_id,3773700,365,365.0,1.0
partition_key,listing_id,3773568,365,365.0,1.0
partition_key,listing_id,9313974,365,365.0,1.0
partition_key,listing_id,6492880,365,365.0,1.0
partition_key,listing_id,4879013,365,365.0,1.0
partition_key,listing_id,3732094,365,365.0,1.0
partition_key,listing_id,873073,365,365.0,1.0
partition_key,listing_id,234898,365,365.0,1.0
partition_key,listing_id,8533375,365,365.0,1.0
partition_key,listing_id,6854019,365,365.0,1.0
partition_key,listing_id,8418650,365,365.0,1.0
partition_key,listing_id,3732076,365,365.0,1.0
partition_key,listing_id,4608592,365,365.0,1.0
partition_key,listing_id,4862719,365,365.0,1.0
partition_key,listing_id,668169,365,365.0,1.0
partition_key,listing_id,429453,365,365.0,1.0
partition_key,listing_id,10124808,365,365.0,1.0
partition_key,listing_id,7459684,365,365.0,1.0
partition_key,listing_id,5992645,365,365.0,1.0
partition_key,listing_id,7917718,365,365.0,1.0
partition_key,listing_id,2986056,365,365.0,1.0
partition_key,listing_id,2011193,365,365.0,1.0
partition_key,listing_id,3768626,365,365.0,1.0
partition_key,listing_id,2026794,365,365.0,1.0
partition_key,listing_id,9154294,365,365.0,1.0
partition_key,listing_id,430610,365,365.0,1.0
partition_key,listing_id,3231850,365,365.0,1.0
partition_key,listing_id,2976798,365,365.0,1.0
partition_key,listing_id,703058,365,365.0,1.0
partition_key,listing_id,7826541,365,365.0,1.0
partition_key,listing_id,240920,365,365.0,1.0
partition_key,listing_id,6655233,365,365.0,1.0
partition_key,listing_id,9866461,365,365.0,1.0
partition_key,listing_id,7957729,365,365.0,1.0
partition_key,listing_id,1428687,365,365.0,1.0
partition_key,listing_id,4803403,365,365.0,1.0
partition_key,listing_id,11012,365,365.0,1.0
partition_key,listing_id,3888924,365,365.0,1.0
partition_key,listing_id,8842808,365,365.0,1.0
partition_key,listing_id,1114695,365,365.0,1.0
partition_key,listing_id,1715582,365,365.0,1.0
partition_key,listing_id,6704734,365,365.0,1.0
partition_key,listing_id,8555098,365,365.0,1.0
partition_key,listing_id,1214316,365,365.0,1.0
partition_key,listing_id,7325455,365,365.0,1.0
partition_key,listing_id,6325685,365,365.0,1.0
partition_key,listing_id,9596,365,365.0,1.0
partition_key,listing_id,9568491,365,365.0,1.0
partition_key,listing_id,1747184,365,365.0,1.0
partition_key,listing_id,8653843,365,365.0,1.0
partition_key,listing_id,6727729,365,365.0,1.0
partition_key,listing_id,3888986,365,365.0,1.0
partition_key,listing_id,4135710,365,365.0,1.0
partition_key,listing_id,3652434,365,365.0,1.0
partition_key,listing_id,7667990,365,365.0,1.0
partition_key,listing_id,4047058,365,365.0,1.0
partition_key,listing_id,7163934,365,365.0,1.0
partition_key,listing_id,7717478,365,365.0,1.0
partition_key,listing_id,4653552,365,365.0,1.0
partition_key,listing_id,6915439,365,365.0,1.0
partition_key,listing_id,506542,365,365.0,1.0
partition_key,listing_id,4046863,365,365.0,1.0
partition_key,listing_id,3915826,365,365.0,1.0
partition_key,listing_id,4787415,365,365.0,1.0
partition_key,listing_id,1602488,365,365.0,1.0
partition_key,listing_id,8459215,365,365.0,1.0
partition_key,listing_id,10274175,365,365.0,1.0
partition_key,listing_id,9167786,365,365.0,1.0
partition_key,listing_id,5686435,365,365.0,1.0
partition_key,listing_id,7939058,365,365.0,1.0
partition_key,listing_id,8392801,365,365.0,1.0
partition_key,listing_id,7404370,365,365.0,1.0
partition_key,listing_id,3720511,365,365.0,1.0
partition_key,listing_id,8193332,365,365.0,1.0
partition_key,listing_id,7957904,365,365.0,1.0
partition_key,listing_id,4555997,365,365.0,1.0
partition_key,listing_id,2267088,365,365.0,1.0
partition_key,listing_id,108468,365,365.0,1.0
partition_key,listing_id,6400379,365,365.0,1.0
partition_key,listing_id,5948003,365,365.0,1.0
partition_key,listing_id,5058086,365,365.0,1.0
partition_key,listing_id,1209255,365,365.0,1.0
partition_key,listing_id,1914051,365,365.0,1.0
partition_key,listing_id,2923529,365,365.0,1.0
partition_key,listing_id,1027860,365,365.0,1.0
partition_key,listing_id,2373176,365,365.0,1.0
partition_key,listing_id,6404427,365,365.0,1.0
partition_key,listing_id,8517602,365,365.0,1.0
partition_key,listing_id,7035240,365,365.0,1.0
partition_key,listing_id,4583161,365,365.0,1.0
partition_key,listing_id,7967844,365,365.0,1.0
partition_key,listing_id,6562393,365,365.0,1.0
partition_key,listing_id,7807087,365,365.0,1.0
partition_key,listing_id,5405643,365,365.0,1.0
partition_key,listing_id,7011200,365,365.0,1.0
partition_key,listing_id,610989,365,365.0,1.0
partition_key,listing_id,7839535,365,365.0,1.0
partition_key,listing_id,4814894,365,365.0,1.0
partition_key,listing_id,186328,365,365.0,1.0
partition_key,listing_id,7492877,365,365.0,1.0
partition_key,listing_id,6576228,365,365.0,1.0
partition_key,listing_id,241016,365,365.0,1.0
partition_key,listing_id,6968101,365,365.0,1.0
partition_key,listing_id,5648564,365,365.0,1.0
partition_key,listing_id,4116645,365,365.0,1.0
partition_key,listing_id,2419879,365,365.0,1.0
partition_key,listing_id,6425735,365,365.0,1.0
partition_key,listing_id,8105351,365,365.0,1.0
partition_key,listing_id,9136499,365,365.0,1.0
partition_key,listing_id,3639023,365,365.0,1.0
partition_key,listing_id,6724599,365,365.0,1.0
partition_key,listing_id,4211629,365,365.0,1.0
partition_key,listing_id,7151924,365,365.0,1.0
partition_key,listing_id,704764,365,365.0,1.0
partition_key,listing_id,1796217,365,365.0,1.0
partition_key,listing_id,4661812,365,365.0,1.0
partition_key,listing_id,8811945,365,365.0,1.0
partition_key,listing_id,1090307,365,365.0,1.0
partition_key,listing_id,15108,365,365.0,1.0
partition_key,listing_id,1882316,365,365.0,1.0
partition_key,listing_id,1095207,365,365.0,1.0
partition_key,listing_id,1343805,365,365.0,1.0
partition_key,listing_id,9217150,365,365.0,1.0
partition_key,listing_id,103920,365,365.0,1.0
partition_key,listing_id,2215336,365,365.0,1.0
partition_key,listing_id,1483944,365,365.0,1.0
partition_key,listing_id,6466129,365,365.0,1.0
partition_key,listing_id,8536441,365,365.0,1.0
partition_key,listing_id,6262987,365,365.0,1.0
partition_key,listing_id,8379081,365,365.0,1.0
partition_key,listing_id,8365938,365,365.0,1.0
partition_key,listing_id,9921445,365,365.0,1.0
partition_key,listing_id,132160,365,365.0,1.0
partition_key,listing_id,2033191,365,365.0,1.0
partition_key,listing_id,8849407,365,365.0,1.0
partition_key,listing_id,9922335,365,365.0,1.0
partition_key,listing_id,7243974,365,365.0,1.0
partition_key,listing_id,6490453,365,365.0,1.0
partition_key,listing_id,4025593,365,365.0,1.0
partition_key,listing_id,8556103,365,365.0,1.0
partition_key,listing_id,955506,365,365.0,1.0
partition_key,listing_id,9868607,365,365.0,1.0
partition_key,listing_id,8668073,365,365.0,1.0
partition_key,listing_id,790860,365,365.0,1.0
partition_key,listing_id,261912,365,365.0,1.0
partition_key,listing_id,368403,365,365.0,1.0
partition_key,listing_id,9878971,365,365.0,1.0
partition_key,listing_id,5602370,365,365.0,1.0
partition_key,listing_id,9395217,365,365.0,1.0
partition_key,listing_id,7331079,365,365.0,1.0
partition_key,listing_id,580182,365,365.0,1.0
partition_key,listing_id,8152191,365,365.0,1.0
partition_key,listing_id,103908,365,365.0,1.0
partition_key,listing_id,783061,365,365.0,1.0
partition_key,listing_id,7901725,365,365.0,1.0
partition_key,listing_id,4968752,365,365.0,1.0
partition_key,listing_id,14386,365,365.0,1.0
partition_key,listing_id,7517215,365,365.0,1.0
partition_key,listing_id,1602421,365,365.0,1.0
partition_key,listing_id,3821822,365,365.0,1.0
partition_key,listing_id,6073437,365,365.0,1.0
partition_key,listing_id,7917700,365,365.0,1.0
partition_key,listing_id,6278181,365,365.0,1.0
partition_key,listing_id,4279578,365,365.0,1.0
partition_key,listing_id,9907337,365,365.0,1.0
partition_key,listing_id,1796861,365,365.0,1.0
partition_key,listing_id,4211836,365,365.0,1.0
partition_key,listing_id,4025954,365,365.0,1.0
partition_key,listing_id,6154478,365,365.0,1.0
partition_key,listing_id,84030,365,365.0,1.0
partition_key,listing_id,4235559,365,365.0,1.0
partition_key,listing_id,830948,365,365.0,1.0
partition_key,listing_id,3468261,365,365.0,1.0
partition_key,listing_id,10026648,365,365.0,1.0
partition_key,listing_id,9117633,365,365.0,1.0
partition_key,listing_id,9158383,365,365.0,1.0
partition_key,listing_id,1145590,365,365.0,1.0
partition_key,listing_id,5020848,365,365.0,1.0
partition_key,listing_id,9600159,365,365.0,1.0
partition_key,listing_id,3522409,365,365.0,1.0
partition_key,listing_id,9492873,365,365.0,1.0
partition_key,listing_id,5534463,365,365.0,1.0
partition_key,listing_id,9409233,365,365.0,1.0
partition_key,listing_id,9531265,365,365.0,1.0
partition_key,listing_id,5364609,365,365.0,1.0
partition_key,listing_id,6629132,365,365.0,1.0
